net,length_um
clknet_1_0__leaf_clk,99.54
net31,87.12
net18,82.04
clknet_1_1__leaf_clk,80.6
net23,79.955
net27,77.44
_045_,71.7
net1,63.5
net24,62.2
_043_,61.96
net2,56.88
net22,55.3
net13,53.32
net20,50.22
net4,44.65
net3,41.92
clk,40.79
net12,37.48
_042_,34.32
clknet_0_clk,34.06
net7,31.94
net5,31.02
pc[3],27.91
R2[3],25.16
_026_,24.36
net11,23.36
net6,22.96
_031_,22.48
halt,22.37
instr[2],21.78
R2[0],20.74
instr[6],20.49
_062_,19.8
_024_,19.44
_068_,19.44
_067_,17.78
R2[2],17.66
net8,16.96
net10,16.84
_061_,16.7
net29,16.62
net9,15.68
R3[0],15.34
instr[1],15
instr[5],14.71
_055_,14.62
R1[2],13.91
R1[3],13.71
_047_,12.62
net30,12.54
pc[0],12.16
_001_,11.98
_069_,11.58
net45,11.48
_009_,11.205
R3[1],11.02
_060_,10.88
R2[1],10.69
instr[7],10.32
_028_,10.28
R1[0],9.86
R3[2],9.86
R0[0],9.79
net46,9.76
R3[3],9.63
_066_,9.4
net19,9.38
_029_,9.36
instr[4],9.3
net16,9.16
net32,9.02
_048_,8.96
pc[1],8.96
_037_,8.9
net21,8.62
_050_,8.56
_041_,8.52
R0[2],8.47
_027_,8.4
net44,8.28
_013_,8
net14,7.98
_049_,7.9
net43,7.68
_051_,7.64
R0[1],7.58
R1[1],7.58
_056_,7.4
net17,7.3
_039_,7.24
_071_,7.2
_025_,7.06
net26,7.06
_070_,6.72
net38,6.72
instr[3],6.69
net42,6.64
_022_,6.54
_052_,6.4
pc[2],6.31
net37,5.98
reset,5.87
_011_,5.865
_000_,5.72
net28,5.72
_012_,5.7
_018_,5.62
_065_,5.58
R0[3],5.53
_019_,5.505
_040_,5.42
net15,5.28
instr[0],5.07
net39,4.94
_015_,4.215
_044_,4.08
_032_,4.035
net41,3.9
_002_,3.88
net35,3.88
_059_,3.76
_046_,3.56
net40,3.56
net33,3.42
_008_,3.245
_036_,3.1
_034_,3.08
_038_,3.08
_006_,2.89
_003_,2.84
_004_,2.84
_010_,2.785
_014_,2.705
_063_,2.62
net36,2.62
_023_,2.585
_020_,2.545
_033_,2.5
_053_,2.5
net25,2.5
_064_,2.38
_005_,2.23
_007_,2.23
_030_,2.16
_057_,2.16
_017_,2.125
_021_,2.085
_016_,1.865
_054_,1.48
net34,1.38
_058_,1.14
_035_,0.92
